iter	RMSE
0	150700635.5
1	146405130.9
2	142268643.1
3	138084805.1
4	134113457.7
5	130679540.9
6	127087708.6
7	123606150.1
8	120277245.3
9	117102883.9
10	114099219.5
11	111293817.4
12	108630685.5
13	105796175.3
14	103406461.3
15	100764194.5
16	98221332.93
17	95765799.57
18	93396253.52
19	91086593.73
20	88901827.34
21	86679281.62
22	84531616.89
23	82418326.43
24	80357868.24
25	78348921.51
26	76387445.44
27	74492849.95
28	72630528.68
29	70814765.43
30	69044396.27
31	67318286.34
32	65635329.15
33	64008098.97
34	62407896.47
35	60847699.03
36	59339832.1
37	57856336.28
38	56423265.77
39	55012684.11
40	53650715.88
41	52323149.08
42	51015070.33
43	49739693.56
44	48496201.2
45	47283796.15
46	46114408.3
47	44974588.11
48	43850223.39
49	42767013.94
50	41711224.49
51	40682177.4
52	39679212.17
53	38701685.04
54	37734142.9
55	36790789.31
56	35885113.17
57	34987985.33
58	34127380.2
59	33274195.68
60	32456435.39
61	31645024.5
62	30853898.87
63	30082551.39
64	29330487.59
65	28597225.39
66	27882294.75
67	27185237.37
68	26505606.42
69	25842966.25
70	25196892.09
71	24578191.86
72	23975245.7
73	23387666.45
74	22802974.78
75	22232900.4
76	21677077.88
77	21135150.93
78	20606772.15
79	20091602.84
80	19589312.76
81	19099579.93
82	18631973.55
83	18166174.2
84	17712019.84
85	17269219.34
86	16837488.85
87	16416551.62
88	16015066.78
89	15614690.1
90	15224322.84
91	14852417.81
92	14481107.36
93	14119079.67
94	13766102.67
95	13421950.1
96	13086401.34
97	12759241.3
98	12440260.26
99	12129253.75
100	11826022.4
101	11530371.84
102	11242112.54
103	10967813.73
104	10693618.38
105	10426277.92
106	10165620.97
107	9911480.438
108	9663693.424
109	9422101.084
110	9186548.554
111	8956884.837
112	8732962.712
113	8514638.641
114	8301772.672
115	8094228.352
116	7891872.64
117	7694575.821
118	7507069.275
119	7319392.54
120	7136407.724
121	6957997.528
122	6784047.587
123	6614446.395
124	6449085.233
125	6287858.1
126	6130661.645
127	5977395.101
128	5827960.222
129	5682261.214
130	5540204.681
131	5401699.562
132	5266657.071
133	5134990.642
134	5006615.874
135	4881450.476
136	4759414.212
137	4640428.855
138	4524418.132
139	4411307.677
140	4301024.983
141	4193499.357
142	4088661.872
143	3986445.323
144	3886784.189
145	3792193.045
146	3697388.218
147	3604953.511
148	3514829.672
149	3426958.929
150	3341284.954
151	3257752.829
152	3176309.007
153	3096901.281
154	3019478.748
155	2943991.778
156	2872444.004
157	2800632.903
158	2730617.079
159	2662351.651
160	2595792.859
161	2532798.911
162	2471427.366
163	2409641.681
164	2349400.638
165	2290665.621
166	2235249.983
167	2179368.733
168	2124884.513
169	2073565.842
170	2021726.695
171	1972985.589
172	1925507.701
173	1877370.008
174	1830435.757
175	1784674.863
176	1740057.99
177	1696556.54
178	1655810.052
179	1614414.8
180	1574054.429
181	1534703.068
182	1496335.491
183	1460471.129
184	1423959.351
185	1388360.366
186	1353651.357
187	1319810.072
188	1288244.495
189	1256038.382
190	1224637.422
191	1194021.486
192	1164170.948
193	1135066.674
194	1106690.007
195	1079022.756
196	1052047.187
197	1025746.007
198	1000102.356
199	975099.797
200	950722.3017
201	928035.2551
202	904834.3733
203	883293.3179
204	861210.9846
205	839680.7096
206	818688.6916
207	798221.474
208	779265.5809
209	759783.9411
210	740789.3423
211	722269.6085
212	704212.868
213	686607.546
214	670344.5951
215	653585.98
216	637246.3303
217	621315.1718
218	606638.8513
219	591472.8798
220	576686.0575
221	562268.9059
222	548212.183
223	534506.8782
224	521144.2061
225	508869.2615
226	496147.5297
227	483743.8413
228	471650.2451
229	459858.9888
230	448362.5139
231	437833.5265
232	426887.6882
233	416215.4958
234	405810.1083
235	396310.3542
236	386402.5952
237	377386.9802
238	367952.3056
239	359396.8466
240	350411.9253
241	341651.627
242	333736.4746
243	325393.0626
244	317258.2359
245	309326.7799
246	301593.6103
247	294053.7699
248	286702.4256
249	279534.8648
250	273083.3737
251	266256.2892
252	259599.8819
253	253632.306
254	247291.4983
255	241109.2107
256	235589.7818
257	229700.0371
258	223957.5361
259	218358.5976
260	212899.6326
261	208047.2376
262	203327.103
263	198243.9253
264	193287.8271
265	188455.6314
266	183744.2405
267	179150.6345
268	174671.8685
269	170727.903
270	166459.7053
271	162298.2126
272	158240.7572
273	154284.7383
274	150427.6197
275	146666.9292
276	143000.2559
277	139425.2495
278	136292.8878
279	132885.5656
280	129563.4264
281	126324.3407
282	123166.2321
283	120087.0763
284	117084.8993
285	114157.7768
286	111303.8323
287	108521.2365
288	105808.2055
289	103163.0004
290	100583.9253
291	98069.32714
292	95617.59393
293	93227.15404
294	90896.47516
295	88624.06324
296	86408.46163
297	84248.25006
298	82142.04377
299	80306.28824
300	78298.631
301	76341.1652
302	74432.63604
303	72571.82011
304	70757.52458
305	69184.86306
306	67455.24146
307	65768.8604
308	64124.63886
309	62521.52287
310	60958.48477
311	59434.52263
312	57948.65954
313	56668.07148
314	55251.36967
315	53870.08541
316	52523.33325
317	51210.2499
318	49929.99364
319	48681.74378
320	47464.70016
321	46422.08034
322	45408.75182
323	44273.533
324	43166.69466
325	42087.52728
326	41035.33908
327	40009.45559
328	39009.21919
329	38163.27831
330	37209.19633
331	36278.96641
332	35371.99224
333	34487.69242
334	33744.91976
335	32901.29675
336	32078.76432
337	31276.7952
338	30494.87531
339	29732.50341
340	29096.71971
341	28369.3017
342	27660.06915
343	27073.01315
344	26396.18781
345	25736.28311
346	25092.87602
347	24465.55411
348	23950.34102
349	23450.07476
350	22863.82289
351	22292.22731
352	21734.92161
353	21191.54857
354	20661.75984
355	20145.21584
356	19641.58544
357	19150.54579
358	18671.78214
359	18204.98758
360	17749.86288
361	17306.11631
362	16873.46339
363	16451.6268
364	16110.90259
365	15708.13001
366	15315.42676
367	14932.54108
368	14559.22755
369	14195.24686
370	13840.36568
371	13494.35653
372	13156.99761
373	12828.07267
374	12507.37085
375	12194.68657
376	11889.8194
377	11592.57391
378	11302.75956
379	11020.19057
380	10744.6858
381	10476.06865
382	10214.16693
383	9958.812754
384	9709.842431
385	9467.096367
386	9230.418954
387	8999.658477
388	8774.667011
389	8555.300333
390	8341.417821
391	8132.882373
392	7929.56031
393	7731.3213
394	7538.038264
395	7349.587305
396	7165.847619
397	6986.701426
398	6812.033888
399	6641.733038
400	6475.68971
401	6313.797465
402	6155.952526
403	6002.05371
404	5852.002365
405	5705.702304
406	5563.059744
407	5423.983249
408	5288.383665
409	5156.174072
410	5027.269718
411	4901.587973
412	4779.048272
413	4659.572063
414	4543.08276
415	4429.505689
416	4318.768046
417	4210.798843
418	4105.52887
419	4002.890647
420	3902.818379
421	3805.247918
422	3710.116719
423	3617.363799
424	3526.929703
425	3438.756459
426	3352.787546
427	3268.967857
428	3187.243659
429	3107.562566
430	3029.873501
431	2954.126662
432	2880.273495
433	2808.266656
434	2738.059989
435	2669.608488
436	2602.868275
437	2537.796567
438	2474.351652
439	2412.49286
440	2352.180537
441	2293.376023
442	2236.041621
443	2180.14058
444	2125.637065
445	2072.496137
446	2020.683733
447	1970.166639
448	1920.912472
449	1872.88966
450	1826.067418
451	1780.415731
452	1735.905338
453	1692.507703
454	1650.19501
455	1608.940134
456	1568.71663
457	1529.498714
458	1491.261246
459	1453.979714
460	1417.630221
461	1382.189465
462	1347.634727
463	1313.943859
464	1281.095262
465	1249.06788
466	1217.841182
467	1187.395152
468	1157.710273
469	1128.767516
470	1100.548327
471	1073.034619
472	1046.208753
473	1020.053534
474	994.552195
475	969.6883898
476	945.4461797
477	921.8100248
478	898.7647738
479	876.2956542
480	854.3882625
481	833.0285556
482	812.2028414
483	791.89777
484	772.1003255
485	752.7978171
486	733.9778714
487	715.6284243
488	697.7377134
489	680.2942703
490	663.2869133
491	646.7047402
492	630.5371215
493	614.7736932
494	599.4043507
495	584.4192417
496	569.8087604
497	555.5635412
498	541.6744525
499	528.1325909
