iter	Passed	Remaining
0	487	243037
1	693	172712
2	884	146463
3	1449	179699
4	1632	161633
5	1818	149685
6	2019	142240
7	2220	136541
8	2381	129901
9	2563	125611
10	2764	122895
11	2964	120542
12	3119	116875
13	3284	114018
14	3430	110912
15	3579	108283
16	4037	114710
17	4358	116715
18	4653	117813
19	4972	119341
20	5238	119497
21	5533	120229
22	5809	120489
23	6145	121894
24	6983	132688
25	7318	133418
26	7623	133556
27	7908	133319
28	8214	133410
29	8506	133261
30	8786	132937
31	9347	136714
32	9658	136687
33	9917	135932
34	10176	135201
35	10426	134391
36	10699	133888
37	11008	133845
38	11278	133312
39	11528	132575
40	11805	132163
41	12075	131675
42	12480	132642
43	12772	132373
44	13001	131457
45	13246	130739
46	13953	134485
47	14238	134081
48	14451	133013
49	14713	132423
50	15075	132725
51	15343	132189
52	15541	131077
53	16242	134149
54	16520	133662
55	16722	132587
56	17826	138548
57	18112	138032
58	18349	137157
59	18629	136618
60	18832	135529
61	19088	134849
62	19331	134093
63	19594	133486
64	19840	132779
65	20143	132458
66	20362	131597
67	20607	130919
68	20848	130230
69	21135	129832
70	21383	129206
71	21654	128722
72	21918	128208
73	22175	127656
74	22492	127457
75	22701	126647
76	22950	126080
77	23188	125453
78	23537	125433
79	23764	124765
80	23998	124142
81	24221	123470
82	24468	122930
83	24786	122753
84	25141	122750
85	25342	121998
86	25590	121479
87	25798	120782
88	26022	120173
89	26316	119885
90	27587	123991
91	27825	123401
92	28035	122693
93	28284	122166
94	28529	121626
95	28778	121108
96	29012	120537
97	29274	120086
98	29498	119482
99	29780	119120
100	30098	118904
101	30384	118561
102	30652	118145
103	30887	117608
104	31136	117133
105	31385	116657
106	31626	116160
107	31896	115771
108	32128	115249
109	32375	114785
110	32633	114365
111	32865	113855
112	33100	113360
113	33400	113091
114	33662	112696
115	33921	112290
116	34169	111852
117	34391	111334
118	34633	110886
119	34864	110405
120	35165	110147
121	35383	109630
122	35623	109187
123	35843	108685
124	36137	108412
125	36422	108110
126	36714	107829
127	37116	107869
128	37393	107542
129	37698	107295
130	37966	106945
131	38253	106645
132	38530	106321
133	38796	105967
134	39038	105548
135	39291	105163
136	39544	104779
137	39791	104379
138	40050	104015
139	40281	103580
140	40521	103170
141	40816	102903
142	41012	102388
143	41263	102011
144	41466	101522
145	41689	101082
146	41960	100762
147	42163	100280
148	42409	99904
149	42660	99540
150	42863	99068
151	43683	100012
152	43925	99621
153	44148	99189
154	44375	98771
155	44590	98326
156	44898	98091
157	45182	97800
158	45452	97479
159	45715	97145
160	45936	96722
161	46168	96327
162	46367	95864
163	46544	95359
164	47361	96158
165	47621	95816
166	47855	95424
167	48144	95142
168	48377	94750
169	48627	94393
170	48903	94090
171	49157	93741
172	49434	93439
173	49686	93090
174	49898	92667
175	50156	92333
176	50468	92098
177	51160	92548
178	52001	93253
179	52373	93107
180	52950	93322
181	53229	93005
182	53492	92662
183	54516	93625
184	55119	93852
185	55508	93707
186	55904	93572
187	56194	93259
188	56510	92988
189	56798	92670
190	57196	92532
191	57453	92165
192	57787	91921
193	58124	91680
194	58493	91490
195	58792	91188
196	59136	90955
197	59495	90745
198	59996	90749
199	60300	90450
200	60667	90246
201	61013	90009
202	61332	89732
203	61746	89593
204	62179	89478
205	62480	89171
206	62758	88832
207	63114	88603
208	63456	88353
209	63705	87974
210	63946	87585
211	64280	87324
212	64553	86980
213	64813	86620
214	65099	86294
215	65422	86018
216	65704	85688
217	65988	85361
218	66124	84844
219	66267	84339
220	66725	84237
221	66963	83855
222	67311	83610
223	67535	83213
224	67715	82763
225	67879	82296
226	68028	81813
227	68153	81306
228	68279	80802
229	69009	81010
230	69281	80678
231	69460	80238
232	69602	79759
233	69752	79291
234	69860	78778
235	69981	78284
236	70105	77796
237	70216	77297
238	70327	76801
239	70553	76433
240	70690	75970
241	70865	75551
242	71289	75397
243	71731	75259
244	72031	74971
245	72377	74731
246	72765	74533
247	73074	74253
248	73348	73937
249	73656	73656
250	73974	73384
251	74242	73064
252	74541	72773
253	74825	72468
254	75141	72194
255	75394	71860
256	75679	71557
257	75902	71195
258	76196	70901
259	76422	70544
260	76689	70225
261	76941	69893
262	77228	69593
263	77671	69433
264	77945	69121
265	78290	68872
266	78547	68544
267	78793	68209
268	79060	67892
269	79371	67613
270	79607	67269
271	79901	66976
272	80187	66676
273	80489	66389
274	80675	66007
275	80909	65665
276	81154	65334
277	81389	64994
278	81671	64693
279	81975	64409
280	82225	64082
281	82452	63740
282	82726	63433
283	82959	63096
284	83181	62751
285	83415	62415
286	83672	62098
287	83910	61767
288	84141	61432
289	84391	61110
290	84560	60732
291	84829	60426
292	85086	60112
293	85313	59777
294	85526	59433
295	85756	59102
296	86049	58814
297	86307	58503
298	86569	58195
299	86859	57906
300	87095	57581
301	87300	57236
302	87560	56928
303	87797	56605
304	88025	56278
305	88288	55973
306	88509	55642
307	88745	55322
308	88942	54977
309	89209	54677
310	89411	54336
311	89628	54006
312	89851	53681
313	90103	53373
314	90293	53029
315	90540	52719
316	90771	52401
317	91041	52105
318	91280	51792
319	91519	51479
320	91792	51186
321	92053	50886
322	92259	50556
323	92480	50236
324	92761	49948
325	92974	49624
326	93240	49329
327	93489	49025
328	93761	48733
329	94000	48424
330	94277	48135
331	94550	47844
332	94820	47552
333	95063	47247
334	95334	46955
